iter	Passed	Remaining
0	178	88956
1	193	48118
2	204	33917
3	216	26820
4	231	22923
5	245	20234
6	264	18625
7	281	17283
8	297	16203
9	319	15647
10	334	14862
11	347	14142
12	361	13538
13	372	12932
14	383	12408
15	393	11891
16	403	11473
17	416	11152
18	426	10784
19	437	10494
20	447	10203
21	456	9921
22	466	9671
23	474	9420
24	484	9208
25	493	8996
26	502	8810
27	512	8637
28	521	8466
29	531	8330
30	540	8178
31	550	8052
32	559	7917
33	569	7801
34	578	7688
35	587	7575
36	597	7474
37	606	7371
38	615	7280
39	624	7182
40	634	7100
41	643	7018
42	653	6941
43	663	6874
44	673	6809
45	685	6770
46	696	6710
47	705	6647
48	716	6596
49	727	6550
50	738	6498
51	749	6454
52	757	6391
53	766	6328
54	775	6276
55	786	6233
56	797	6200
57	806	6148
58	815	6096
59	825	6050
60	834	6007
61	845	5976
62	855	5937
63	866	5900
64	876	5867
65	887	5837
66	899	5810
67	910	5784
68	920	5748
69	932	5726
70	944	5704
71	954	5672
72	964	5640
73	973	5606
74	983	5573
75	993	5542
76	1003	5511
77	1014	5489
78	1025	5465
79	1035	5435
80	1047	5417
81	1059	5398
82	1069	5370
83	1081	5354
84	1093	5337
85	1102	5309
86	1114	5289
87	1127	5278
88	1138	5255
89	1148	5231
90	1161	5218
91	1171	5197
92	1182	5176
93	1195	5164
94	1207	5146
95	1217	5122
96	1229	5109
97	1242	5095
98	1252	5071
99	1263	5054
100	1275	5038
101	1286	5020
102	1297	5002
103	1309	4987
104	1323	4977
105	1339	4979
106	1350	4960
107	1363	4947
108	1374	4931
109	1385	4910
110	1396	4895
111	1408	4881
112	1420	4865
113	1430	4841
114	1442	4829
115	1454	4815
116	1467	4803
117	1478	4787
118	1491	4774
119	1502	4757
120	1515	4745
121	1525	4726
122	1538	4714
123	1547	4693
124	1558	4675
125	1568	4656
126	1577	4633
127	1588	4615
128	1599	4600
129	1612	4589
130	1623	4573
131	1634	4556
132	1643	4535
133	1654	4519
134	1664	4500
135	1673	4479
136	1683	4460
137	1692	4440
138	1702	4422
139	1712	4403
140	1722	4385
141	1732	4367
142	1741	4348
143	1752	4331
144	1761	4312
145	1772	4297
146	1784	4284
147	1796	4272
148	1806	4255
149	1816	4239
150	1826	4221
151	1836	4204
152	1847	4189
153	1857	4172
154	1868	4158
155	1879	4143
156	1888	4125
157	1898	4110
158	1908	4092
159	1919	4077
160	1930	4064
161	1939	4047
162	1951	4035
163	1963	4022
164	1973	4006
165	1985	3995
166	1998	3984
167	2008	3969
168	2021	3959
169	2034	3949
170	2047	3939
171	2063	3934
172	2072	3917
173	2088	3912
174	2103	3905
175	2118	3899
176	2130	3888
177	2144	3879
178	2155	3864
179	2168	3855
180	2180	3843
181	2190	3826
182	2200	3811
183	2212	3799
184	2222	3783
185	2232	3768
186	2241	3752
187	2251	3736
188	2261	3721
189	2271	3705
190	2281	3690
191	2292	3676
192	2302	3662
193	2313	3648
194	2323	3634
195	2332	3618
196	2343	3603
197	2355	3592
198	2365	3577
199	2375	3563
200	2385	3548
201	2395	3534
202	2405	3519
203	2414	3504
204	2424	3488
205	2433	3472
206	2442	3457
207	2450	3440
208	2461	3426
209	2470	3411
210	2479	3395
211	2488	3381
212	2497	3364
213	2506	3349
214	2515	3334
215	2525	3320
216	2534	3304
217	2543	3290
218	2552	3275
219	2561	3259
220	2570	3245
221	2579	3230
222	2591	3219
223	2601	3204
224	2609	3189
225	2618	3174
226	2627	3159
227	2637	3146
228	2645	3131
229	2654	3116
230	2663	3101
231	2671	3086
232	2680	3071
233	2689	3056
234	2699	3044
235	2715	3037
236	2737	3037
237	2750	3028
238	2762	3017
239	2779	3011
240	2792	3001
241	2806	2991
242	2818	2980
243	2834	2974
244	2846	2963
245	2858	2951
246	2872	2941
247	2883	2930
248	2896	2920
249	2909	2909
250	2921	2898
251	2933	2887
252	2946	2876
253	2959	2866
254	2972	2855
255	2982	2842
256	2996	2833
257	3010	2824
258	3025	2814
259	3037	2803
260	3049	2792
261	3060	2780
262	3074	2770
263	3086	2759
264	3098	2747
265	3111	2737
266	3121	2723
267	3131	2711
268	3141	2697
269	3153	2685
270	3162	2672
271	3172	2659
272	3182	2646
273	3192	2633
274	3202	2620
275	3212	2607
276	3223	2595
277	3234	2582
278	3245	2570
279	3256	2558
280	3266	2545
281	3277	2533
282	3290	2523
283	3301	2510
284	3310	2497
285	3324	2487
286	3335	2475
287	3344	2462
288	3356	2450
289	3367	2438
290	3376	2425
291	3388	2413
292	3398	2401
293	3409	2388
294	3420	2377
295	3431	2365
296	3441	2352
297	3453	2341
298	3465	2329
299	3475	2317
300	3487	2305
301	3497	2293
302	3506	2280
303	3516	2267
304	3526	2254
305	3536	2242
306	3546	2229
307	3556	2216
308	3566	2204
309	3575	2191
310	3585	2179
311	3595	2166
312	3605	2154
313	3615	2141
314	3625	2129
315	3635	2116
316	3645	2104
317	3654	2091
318	3664	2079
319	3673	2066
320	3683	2053
321	3693	2042
322	3704	2030
323	3714	2018
324	3725	2006
325	3737	1994
326	3749	1983
327	3762	1973
328	3774	1962
329	3787	1950
330	3799	1939
331	3811	1928
332	3822	1916
333	3834	1905
334	3846	1894
335	3858	1883
336	3870	1871
337	3881	1860
338	3893	1849
339	3905	1837
340	3917	1826
341	3929	1815
342	3944	1805
343	3958	1794
344	3970	1783
345	3983	1772
346	3996	1762
347	4007	1750
348	4018	1738
349	4029	1726
350	4038	1714
351	4048	1702
352	4061	1691
353	4070	1678
354	4080	1666
355	4090	1654
356	4100	1642
357	4109	1630
358	4119	1617
359	4129	1606
360	4139	1593
361	4149	1581
362	4158	1569
363	4169	1557
364	4178	1545
365	4188	1533
366	4198	1521
367	4208	1509
368	4219	1497
369	4228	1485
370	4238	1473
371	4248	1461
372	4257	1449
373	4266	1437
374	4276	1425
375	4287	1413
376	4298	1402
377	4310	1391
378	4321	1379
379	4332	1368
380	4344	1356
381	4353	1344
382	4363	1332
383	4373	1321
384	4382	1309
385	4391	1297
386	4400	1284
387	4409	1272
388	4418	1260
389	4426	1248
390	4435	1236
391	4444	1224
392	4452	1212
393	4460	1200
394	4468	1187
395	4477	1175
